ticker,fiscal_year,section,chunk_id,prompt_tokens,completion_tokens,total_tokens,latency_sec,n_nodes,n_relationships,status
ENTG,2024,Item_1,ENTG_2024_Item_1_0000_647e6e2c,2242,1074,3316,10.779,4,3,ok
ENTG,2024,Item_1,ENTG_2024_Item_1_0005_8d583ccc,2314,1990,4304,20.658,4,0,ok
ENTG,2024,Item_1,ENTG_2024_Item_1_0006_5d8fc872,2222,1877,4099,20.751,4,0,ok
ENTG,2024,Item_1,ENTG_2024_Item_1_0002_51e2d57c,2443,2646,5089,28.226,3,0,ok
ENTG,2024,Item_1,ENTG_2024_Item_1_0004_ac1ccd3a,2307,3639,5946,36.538,16,0,ok
ENTG,2024,Item_1,ENTG_2024_Item_1_0008_9f625423,2396,2385,4781,23.514,6,4,ok
ENTG,2024,Item_1,ENTG_2024_Item_1_0007_38140456,2259,5037,7296,46.523,20,0,ok
ENTG,2024,Item_1,ENTG_2024_Item_1_0003_c96e53ea,2295,5443,7738,48.162,21,1,ok
ENTG,2024,Item_1,ENTG_2024_Item_1_0001_61f633dc,2466,5433,7899,48.522,20,11,ok
ENTG,2024,Item_1,ENTG_2024_Item_1_0010_de963029,2296,3625,5921,32.355,14,0,ok
ENTG,2024,Item_1,ENTG_2024_Item_1_0009_c1b0a473,2371,4386,6757,38.258,12,7,ok
ENTG,2024,Item_1,ENTG_2024_Item_1_0011_cef6bd6e,2360,3834,6194,32.546,15,0,ok
ENTG,2024,Item_1,ENTG_2024_Item_1_0017_6dea4db1,2363,1495,3858,11.509,9,8,ok
ENTG,2024,Item_1,ENTG_2024_Item_1_0016_370c4ab1,2385,1935,4320,17.938,16,0,ok
ENTG,2024,Item_1,ENTG_2024_Item_1_0015_75faea9b,2337,2334,4671,21.18,8,0,ok
ENTG,2024,Item_1,ENTG_2024_Item_1_0018_1e35f935,2353,1718,4071,15.54,6,5,ok
ENTG,2024,Item_1,ENTG_2024_Item_1_0013_fb3bd5d2,2394,4297,6691,40.461,10,0,ok
ENTG,2024,Item_1,ENTG_2024_Item_1_0012_8412b731,2315,6209,8524,51.269,17,16,ok
ENTG,2024,Item_1,ENTG_2024_Item_1_0014_a28d5f1b,2293,5130,7423,44.701,12,0,ok
ENTG,2024,Item_1,ENTG_2024_Item_1_0019_b6aee1a3,1987,3057,5044,30.528,9,0,ok
ENTG,2024,Item_1A,ENTG_2024_Item_1A_0000_ae872675,2459,4143,6602,33.287,12,10,ok
ENTG,2024,Item_1A,ENTG_2024_Item_1A_0007_492ceedd,2316,1365,3681,13.657,4,0,ok
ENTG,2024,Item_1A,ENTG_2024_Item_1A_0002_ed68771d,2421,4656,7077,36.998,14,4,ok
ENTG,2024,Item_1A,ENTG_2024_Item_1A_0001_bf716393,2485,5619,8104,46.135,17,8,ok
ENTG,2024,Item_1A,ENTG_2024_Item_1A_0008_a1dd6c78,2440,1754,4194,17.098,3,0,ok
ENTG,2024,Item_1A,ENTG_2024_Item_1A_0005_a6b7e4ff,2497,4164,6661,36.207,6,4,ok
ENTG,2024,Item_1A,ENTG_2024_Item_1A_0006_2db627fe,2396,5033,7429,43.973,13,4,ok
ENTG,2024,Item_1A,ENTG_2024_Item_1A_0009_d316626c,2394,3972,6366,31.531,11,11,ok
ENTG,2024,Item_1A,ENTG_2024_Item_1A_0013_b70ce654,2306,1611,3917,16.139,1,0,ok
ENTG,2024,Item_1A,ENTG_2024_Item_1A_0004_999d6dff,2486,8446,10932,67.026,30,13,ok
ENTG,2024,Item_1A,ENTG_2024_Item_1A_0010_a881db2d,2154,4342,6496,39.213,6,1,ok
ENTG,2024,Item_1A,ENTG_2024_Item_1A_0011_7fd5fc5f,2491,3875,6366,32.937,8,4,ok
ENTG,2024,Item_1A,ENTG_2024_Item_1A_0016_629d19ed,2420,2660,5080,24.345,5,0,ok
ENTG,2024,Item_1A,ENTG_2024_Item_1A_0019_105674a2,2398,2322,4720,20.179,5,4,ok
ENTG,2024,Item_1A,ENTG_2024_Item_1A_0012_e0296acd,2438,5988,8426,50.888,14,9,ok
ENTG,2024,Item_1A,ENTG_2024_Item_1A_0020_b051749e,2284,537,2821,5.724,0,0,ok
ENTG,2024,Item_7,ENTG_2024_Item_7_0000_79165c3c,2003,474,2477,5.067,0,0,ok
ENTG,2024,Item_1A,ENTG_2024_Item_1A_0014_edf591e7,2495,4520,7015,37.819,10,2,ok
ENTG,2024,Item_7,ENTG_2024_Item_7_0002_4c772a31,1853,523,2376,6.242,0,0,ok
ENTG,2024,Item_1A,ENTG_2024_Item_1A_0003_5fc9814b,2491,14442,16933,106.326,38,16,ok
ENTG,2024,Item_1A,ENTG_2024_Item_1A_0018_1e6594bc,2336,4526,6862,39.64,11,0,ok
ENTG,2024,Item_1A,ENTG_2024_Item_1A_0015_99c93b79,2506,6393,8899,49.969,11,8,ok
ENTG,2024,Item_1A,ENTG_2024_Item_1A_0017_71d5947d,2466,5384,7850,46.235,10,6,ok
ENTG,2024,Item_7,ENTG_2024_Item_7_0003_a2a2b870,2296,2577,4873,22.799,5,0,ok
ENTG,2024,Item_1A,ENTG_2024_Item_1A_0021_5a826d4d,2629,5676,8305,46.83,30,0,ok
ENTG,2024,Item_7,ENTG_2024_Item_7_0005_b82d6e3c,2414,4896,7310,37.128,14,12,ok
ENTG,2024,Item_7,ENTG_2024_Item_7_0004_296c60a8,2586,6419,9005,53.608,18,6,ok
ENTG,2024,Item_7,ENTG_2024_Item_7_0006_70a5fff2,2749,5866,8615,49.913,30,2,ok
ENTG,2024,Item_7,ENTG_2024_Item_7_0001_e7d2a8a0,2494,8705,11199,73.018,19,2,ok
ENTG,2024,Item_7,ENTG_2024_Item_7_0007_2a52c973,2796,8146,10942,63.422,18,15,ok
ENTG,2024,Item_7,ENTG_2024_Item_7_0009_7ec7e035,2669,7516,10185,57.856,15,8,ok
ENTG,2024,Item_7,ENTG_2024_Item_7_0008_70ad24ef,2625,8656,11281,64.684,25,15,ok
ENTG,2024,Item_7,ENTG_2024_Item_7_0013_3a6ac038,2619,2406,5025,24.782,2,0,ok
ENTG,2024,Item_7,ENTG_2024_Item_7_0012_ef89ca2b,2517,3382,5899,30.094,9,3,ok
ENTG,2024,Item_7,ENTG_2024_Item_7_0015_7347ea58,2518,2289,4807,19.145,10,0,ok
ENTG,2024,Item_7,ENTG_2024_Item_7_0011_66c59a7e,2680,7971,10651,56.133,21,22,ok
ENTG,2024,Item_7,ENTG_2024_Item_7_0016_ff875a34,2336,3642,5978,30.744,7,0,ok
ENTG,2024,Item_7,ENTG_2024_Item_7_0014_bed50fd4,2655,4831,7486,41.735,13,2,ok
ENTG,2024,Item_7,ENTG_2024_Item_7_0010_afd49f54,2715,11245,13960,81.902,33,27,ok
ENTG,2024,Item_7,ENTG_2024_Item_7_0017_71caf017,2854,5026,7880,40.519,19,13,ok
ENTG,2024,Item_7,ENTG_2024_Item_7_0019_28ef5c6a,2355,6109,8464,48.858,21,18,ok
ENTG,2024,Item_7,ENTG_2024_Item_7_0018_b0a46a7f,2836,11183,14019,89.412,27,36,ok
ENTG,2025,Item_1,ENTG_2025_Item_1_0000_7efdfd60,2329,1507,3836,13.313,3,2,ok
ENTG,2025,Item_1,ENTG_2025_Item_1_0005_c5ff439f,2352,2403,4755,22.633,6,0,ok
ENTG,2025,Item_1,ENTG_2025_Item_1_0004_66634bce,2390,3066,5456,29.006,10,0,ok
ENTG,2025,Item_1,ENTG_2025_Item_1_0003_13e78023,2350,3413,5763,30.523,8,0,ok
ENTG,2025,Item_1,ENTG_2025_Item_1_0008_700da46e,2291,2295,4586,19.346,5,4,ok
ENTG,2025,Item_1,ENTG_2025_Item_1_0006_32abc7dd,2339,4294,6633,34.748,20,0,ok
ENTG,2025,Item_1,ENTG_2025_Item_1_0002_36cf0c58,2459,4586,7045,36.303,22,0,ok
ENTG,2025,Item_1,ENTG_2025_Item_1_0001_2c16b012,2564,3668,6232,37.047,2,1,ok
ENTG,2025,Item_1,ENTG_2025_Item_1_0012_f02d1ecc,2301,1114,3415,11.229,2,0,ok
ENTG,2025,Item_1,ENTG_2025_Item_1_0010_b14621f7,2329,2568,4897,22.897,13,0,ok
ENTG,2025,Item_1,ENTG_2025_Item_1_0016_cce5e62a,2267,937,3204,8.586,2,1,ok
ENTG,2025,Item_1,ENTG_2025_Item_1_0014_5b8d269c,2407,2597,5004,20.317,16,0,ok
ENTG,2025,Item_1,ENTG_2025_Item_1_0011_5cc40afb,2389,3179,5568,27.104,19,0,ok
ENTG,2025,Item_1,ENTG_2025_Item_1_0007_36e0b99f,2340,7350,9690,59.571,20,16,ok
ENTG,2025,Item_1,ENTG_2025_Item_1_0015_e33b0e05,2343,2991,5334,24.634,17,0,ok
ENTG,2025,Item_1,ENTG_2025_Item_1_0009_10fe8b44,2294,6527,8821,45.494,28,0,ok
ENTG,2025,Item_1,ENTG_2025_Item_1_0013_d310ee7e,2359,4783,7142,39.33,21,0,ok
ENTG,2025,Item_1,ENTG_2025_Item_1_0017_ca134e0e,2293,3741,6034,32.266,10,1,ok
ENTG,2025,Item_1A,ENTG_2025_Item_1A_0001_aed83f63,2467,6636,9103,48.961,21,12,ok
ENTG,2025,Item_1A,ENTG_2025_Item_1A_0003_394687c3,2425,5842,8267,47.019,17,5,ok
ENTG,2025,Item_1A,ENTG_2025_Item_1A_0004_16256681,2497,7799,10296,60.568,28,8,ok
ENTG,2025,Item_1A,ENTG_2025_Item_1A_0000_b352fc26,2444,9599,12043,71.162,51,19,ok
ENTG,2025,Item_1A,ENTG_2025_Item_1A_0005_1b7cb400,2290,6998,9288,56.132,14,9,ok
ENTG,2025,Item_1A,ENTG_2025_Item_1A_0006_566f627b,2478,6002,8480,50.888,10,8,ok
ENTG,2025,Item_1A,ENTG_2025_Item_1A_0007_368e6ba1,2441,5382,7823,47.616,11,0,ok
ENTG,2025,Item_1A,ENTG_2025_Item_1A_0002_addb26ad,2490,11891,14381,88.551,32,24,ok
