ticker,fiscal_year,section,chunk_id,prompt_tokens,completion_tokens,total_tokens,latency_sec,n_nodes,n_relationships,status
TXN,2024,Item_1,TXN_2024_Item_1_0005_cdf8e0b8,2918,1859,4777,19.587,4,0,ok
TXN,2024,Item_1,TXN_2024_Item_1_0004_06070784,2683,2305,4988,23.457,7,0,ok
TXN,2024,Item_1,TXN_2024_Item_1_0002_9a773c8b,2770,2864,5634,23.542,10,8,ok
TXN,2024,Item_1,TXN_2024_Item_1_0001_f0a848cc,2719,2444,5163,24.407,5,4,ok
TXN,2024,Item_1,TXN_2024_Item_1_0000_dc6cfe96,2713,2859,5572,24.613,8,7,ok
TXN,2024,Item_1,TXN_2024_Item_1_0003_522f0bf6,2669,3196,5865,30.128,9,8,ok
TXN,2024,Item_1A,TXN_2024_Item_1A_0007_81dbdb76,2650,523,3173,6.067,0,0,ok
TXN,2024,Item_1A,TXN_2024_Item_1A_0003_61ae6177,2763,2201,4964,18.617,7,6,ok
TXN,2024,Item_1A,TXN_2024_Item_1A_0002_a8a4e005,2687,3094,5781,29.613,5,1,ok
TXN,2024,Item_1A,TXN_2024_Item_1A_0004_3566655f,2829,3561,6390,30.37,11,2,ok
TXN,2024,Item_1A,TXN_2024_Item_1A_0000_2402bc3c,2816,6587,9403,56.536,16,13,ok
TXN,2024,Item_1A,TXN_2024_Item_1A_0006_07c75aae,2747,3961,6708,33.19,10,8,ok
TXN,2024,Item_7,TXN_2024_Item_7_0000_07a456ba,2863,3003,5866,23.521,8,7,ok
TXN,2024,Item_1A,TXN_2024_Item_1A_0001_6aaf92b4,2772,8509,11281,69.44,25,19,ok
TXN,2024,Item_1A,TXN_2024_Item_1A_0005_92192511,2871,7020,9891,57.148,15,13,ok
TXN,2024,Item_7,TXN_2024_Item_7_0005_afb3415f,2357,1597,3954,15.886,3,0,ok
TXN,2024,Item_1A,TXN_2024_Item_1A_0008_6ccfb7d7,2650,6884,9534,54.114,37,3,ok
TXN,2024,Item_7,TXN_2024_Item_7_0004_8f908ef3,2859,5403,8262,45.467,14,5,ok
TXN,2024,Item_7,TXN_2024_Item_7_0002_66449f05,3045,6623,9668,54.478,18,19,ok
TXN,2024,Item_7,TXN_2024_Item_7_0003_7536ce75,3045,9535,12580,76.296,19,11,ok
TXN,2024,Item_7,TXN_2024_Item_7_0001_fa737976,3120,12280,15400,96.173,37,17,ok
TXN,2025,Item_1,TXN_2025_Item_1_0005_4021dba2,2820,517,3337,5.457,1,0,ok
TXN,2025,Item_1,TXN_2025_Item_1_0001_f11cf6bb,2720,1388,4108,13.026,5,4,ok
TXN,2025,Item_1,TXN_2025_Item_1_0002_e6c099ac,2737,2034,4771,15.286,11,9,ok
TXN,2025,Item_1,TXN_2025_Item_1_0000_3d6bab54,2698,2232,4930,19.481,7,6,ok
TXN,2025,Item_1,TXN_2025_Item_1_0004_2bd02976,2675,2136,4811,20.253,6,0,ok
TXN,2025,Item_1,TXN_2025_Item_1_0003_f5c86656,2671,3093,5764,25.019,8,7,ok
TXN,2025,Item_1A,TXN_2025_Item_1A_0002_1e1b8e35,2626,3136,5762,29.421,4,1,ok
TXN,2025,Item_1A,TXN_2025_Item_1A_0003_e72ec163,2619,2608,5227,24.921,4,0,ok
TXN,2025,Item_1A,TXN_2025_Item_1A_0007_74801d57,2734,1856,4590,16.097,2,3,ok
TXN,2025,Item_1A,TXN_2025_Item_1A_0001_1a80834d,2787,7219,10006,58.49,16,15,ok
TXN,2025,Item_1A,TXN_2025_Item_1A_0004_ed15a5f2,2825,4934,7759,43.647,11,10,ok
TXN,2025,Item_7,TXN_2025_Item_7_0000_d61c6e0c,2859,2581,5440,21.937,7,6,ok
TXN,2025,Item_1A,TXN_2025_Item_1A_0000_79d02fa3,2833,7697,10530,60.231,17,19,ok
TXN,2025,Item_1A,TXN_2025_Item_1A_0006_14450e6c,2849,5241,8090,41.447,11,5,ok
TXN,2025,Item_1A,TXN_2025_Item_1A_0008_d9f2a5e5,2844,3305,6149,28.899,13,12,ok
TXN,2025,Item_1A,TXN_2025_Item_1A_0005_fbd80031,2750,6277,9027,50.993,10,8,ok
